id,name,photo,email,source,given_name,family_name,start_date,end_date,party,term
00AFCD693BFADCB8C2257D7B0032D8BD,Atis Lejiņš,http://titania.saeima.lv/personal/deputati/saeima12_depweb_public.nsf/0/00afcd693bfadcb8c2257d7b0032d8bd/Foto/0.84?OpenElement&FieldElemFormat=jpg,Atis.Lejins@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima12_depweb_public.nsf/0/00AFCD693BFADCB8C2257D7B0032D8BD?OpenDocument&lang=EN,Atis,Lejiņš,2014-11-04,,Unity,12
624A90F85251E8B0C2257D7B0032D781,Mārtiņš Šics,http://titania.saeima.lv/personal/deputati/saeima12_depweb_public.nsf/0/624a90f85251e8b0c2257d7b0032d781/Foto/0.84?OpenElement&FieldElemFormat=jpg,Martins.Sics@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima12_depweb_public.nsf/0/624A90F85251E8B0C2257D7B0032D781?OpenDocument&lang=EN,Mārtiņš,Šics,2014-11-04,,Latvian Regional Alliance,12
4460384B6DEFF1E6C2257D7B0032D7A4,Mārtiņš Bondars,http://titania.saeima.lv/personal/deputati/saeima12_depweb_public.nsf/0/4460384b6deff1e6c2257d7b0032d7a4/Foto/0.84?OpenElement&FieldElemFormat=jpg,Martins.Bondars@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima12_depweb_public.nsf/0/4460384B6DEFF1E6C2257D7B0032D7A4?OpenDocument&lang=EN,Mārtiņš,Bondars,2014-11-04,,Latvian Regional Alliance,12
498CF455CA6CCE8CC2257D7B0032D7A3,Artuss Kaimiņš,http://titania.saeima.lv/personal/deputati/saeima12_depweb_public.nsf/0/498cf455ca6cce8cc2257d7b0032d7a3/Foto/0.84?OpenElement&FieldElemFormat=jpg,Artuss.Kaimins@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima12_depweb_public.nsf/0/498CF455CA6CCE8CC2257D7B0032D7A3?OpenDocument&lang=EN,Artuss,Kaimiņš,2014-11-04,2015-12-16,Latvian Regional Alliance,12
498CF455CA6CCE8CC2257D7B0032D7A3,Artuss Kaimiņš,http://titania.saeima.lv/personal/deputati/saeima12_depweb_public.nsf/0/498cf455ca6cce8cc2257d7b0032d7a3/Foto/0.84?OpenElement&FieldElemFormat=jpg,Artuss.Kaimins@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima12_depweb_public.nsf/0/498CF455CA6CCE8CC2257D7B0032D7A3?OpenDocument&lang=EN,Artuss,Kaimiņš,2015-12-16,,Unaffiliated members of parliament,12
1A6B13C5EC34802EC2257D7B0032D7A8,Jānis Ruks,http://titania.saeima.lv/personal/deputati/saeima12_depweb_public.nsf/0/1a6b13c5ec34802ec2257d7b0032d7a8/Foto/0.84?OpenElement&FieldElemFormat=jpg,Janis.Ruks@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima12_depweb_public.nsf/0/1A6B13C5EC34802EC2257D7B0032D7A8?OpenDocument&lang=EN,Jānis,Ruks,2014-11-04,,Latvian Regional Alliance,12
00D558703F29FD2AC2257D7B0032D7C1,Juris Viļums,http://titania.saeima.lv/personal/deputati/saeima12_depweb_public.nsf/0/00d558703f29fd2ac2257d7b0032d7c1/Foto/0.84?OpenElement&FieldElemFormat=jpg,Juris.Vilums@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima12_depweb_public.nsf/0/00D558703F29FD2AC2257D7B0032D7C1?OpenDocument&lang=EN,Juris,Viļums,2014-11-04,,Latvian Regional Alliance,12
3760E326BDD2D921C2257D7B0032D7D3,Dainis Liepiņš,http://titania.saeima.lv/personal/deputati/saeima12_depweb_public.nsf/0/3760e326bdd2d921c2257d7b0032d7d3/Foto/0.84?OpenElement&FieldElemFormat=jpg,Dainis.Liepins@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima12_depweb_public.nsf/0/3760E326BDD2D921C2257D7B0032D7D3?OpenDocument&lang=EN,Dainis,Liepiņš,2014-11-04,,Latvian Regional Alliance,12
91F1046592FDA834C2257D7B0032D7E4,Nellija Kleinberga,http://titania.saeima.lv/personal/deputati/saeima12_depweb_public.nsf/0/91f1046592fda834c2257d7b0032d7e4/Foto/0.84?OpenElement&FieldElemFormat=jpg,Nellija.Kleinberga@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima12_depweb_public.nsf/0/91F1046592FDA834C2257D7B0032D7E4?OpenDocument&lang=EN,Nellija,Kleinberga,2014-11-04,,Latvian Regional Alliance,12
12B6D57F344C49B7C2257D7B0032D7F4,Jānis Urbanovičs,http://titania.saeima.lv/personal/deputati/saeima12_depweb_public.nsf/0/12b6d57f344c49b7c2257d7b0032d7f4/Foto/0.84?OpenElement&FieldElemFormat=jpg,Janis.Urbanovics@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima12_depweb_public.nsf/0/12B6D57F344C49B7C2257D7B0032D7F4?OpenDocument&lang=EN,Jānis,Urbanovičs,2014-11-04,,Concord,12
